Image Address,Target Index,Target Right Ascension,Target Declination,Survey,Band,Number of Central Blobs,Main Blob Center,Main Blob Radius,Main Blob Displacement,Percent Outside Diffraction,Threshold Value,Percent of Image White,Validation,Error
FITS/RandSample-2000/index-11/2MASS--K,11,307.423512,2.444045,2MASS,K,1,"(29, 30)",4,2.23606797749979,0.0,0.357421875,0.015318462778822897,,NULL
FITS/RandSample-2000/index-11/WISE+(AllWISE)--w4,11,307.423512,2.444045,WISE,w4,0,NULL,NULL,NULL,NULL,0.705078125,0.8045454545454546,0,Image lacks central blob
FITS/RandSample-2000/index-11/DSS--DSS2+Red,11,307.423512,2.444045,DSS,DSS2+Red,1,"(29, 28)",5,2.23606797749979,0.0,0.416015625,0.04152542372881356,,NULL
FITS/RandSample-2000/index-11/DSS--DSS2+IR,11,307.423512,2.444045,DSS,DSS2+IR,1,"(29, 28)",5,2.23606797749979,0.0,0.400390625,0.02401129943502825,,NULL
FITS/RandSample-2000/index-11/WISE+(AllWISE)--w1,11,307.423512,2.444045,WISE,w1,1,"(21, 21)",7,2.8284271247461903,0.004761904761904762,0.345703125,0.10606060606060606,,NULL
FITS/RandSample-2000/index-11/2MASS--J,11,307.423512,2.444045,2MASS,J,1,"(29, 30)",4,2.23606797749979,0.0,0.322265625,0.015318462778822897,,NULL
FITS/RandSample-2000/index-11/2MASS--H,11,307.423512,2.444045,2MASS,H,1,"(29, 30)",4,2.23606797749979,0.0,0.349609375,0.014512227895726955,,NULL
FITS/RandSample-2000/index-12/WISE+(AllWISE)--w3,12,270.809407,-55.695462,WISE,w3,0,NULL,NULL,NULL,NULL,0.591796875,0.16167355371900827,0,Image lacks central blob
FITS/RandSample-2000/index-12/WISE+(AllWISE)--w2,12,270.809407,-55.695462,WISE,w2,1,"(21, 21)",7,1.4142135623730951,0.0,0.373046875,0.10898760330578512,,NULL
FITS/RandSample-2000/index-12/DSS--DSS2+Blue,12,270.809407,-55.695462,DSS,DSS2+Blue,1,"(17, 17)",5,1.4142135623730951,0.0,0.439453125,0.12489795918367347,,NULL
